SlidingTackle;GKDiving;GKHandling;GKKicking;GKPositioning;GKReflexes
26;6;11;15;14;8
23;7;11;15;14;11
33;9;9;15;15;11
13;90;85;87;88;94
51;15;13;5;10;13
22;11;12;6;8;8
73;13;9;7;14;9
38;27;25;31;33;37
91;11;8;9;7;11
18;86;92;78;88;89
19;15;6;12;8;10
69;10;11;13;7;10
89;6;8;15;5;15
29;6;15;7;6;12
85;15;12;10;7;10
20;5;4;4;5;8
38;8;10;11;14;11
48;14;8;14;13;14
10;87;85;88;85;90
16;85;91;72;86;88
80;5;8;13;9;13
39;12;5;13;13;10
11;90;86;91;87;87
12;13;15;6;11;14
90;3;3;2;4;3
32;13;5;7;11;6
41;14;14;9;11;14
87;13;14;16;12;12
44;15;15;15;5;14
22;8;4;14;9;10
51;10;8;12;15;6
22;9;14;7;7;6
47;12;7;9;14;6
36;6;9;15;9;9
88;15;6;10;5;6
86;12;5;5;5;9
52;15;15;11;5;6
18;88;84;68;83;92
18;5;12;7;5;10
85;9;12;5;9;10
13;87;86;69;89;89
11;88;87;74;90;83
86;15;10;14;12;15
20;13;9;5;7;9
86;7;11;7;13;5
68;5;6;2;4;3
14;90;81;75;82;90
30;8;15;14;7;10
32;6;8;15;12;6
85;13;15;13;6;13
40;7;10;8;10;4
88;6;10;9;12;7
62;8;6;4;14;14
70;14;11;12;5;9
84;10;11;14;15;8
35;8;12;9;9;14
35;9;10;14;12;9
8;85;80;91;82;87
38;10;10;15;7;14
84;13;10;13;11;11
54;15;12;12;15;9
42;8;11;9;6;10
87;11;11;9;5;14
80;12;12;15;15;10
84;7;7;9;12;5
34;13;15;9;12;5
44;6;7;11;14;14
65;6;11;7;9;13
45;12;12;13;13;11
86;13;9;10;6;5
80;2;2;3;2;4
86;16;6;14;16;14
70;7;7;13;7;8
85;7;4;8;7;11
19;6;14;10;6;14
80;12;11;5;13;7
56;6;13;6;13;7
82;10;13;12;8;12
72;7;10;7;16;7
39;13;9;6;12;10
25;15;9;8;14;15
16;83;81;85;84;88
79;8;15;7;15;15
76;7;13;12;10;9
18;15;9;13;11;6
80;5;7;14;15;9
51;14;12;5;10;13
30;11;6;9;5;6
89;8;6;8;15;12
84;12;5;8;11;12
60;5;9;12;14;8
73;16;16;11;6;8
12;85;81;71;85;87
35;10;10;15;12;13
25;13;16;12;7;7
87;7;12;15;6;5
86;4;2;4;2;4
54;6;7;10;9;6
16;9;11;13;15;15
76;11;9;5;15;8
34;11;13;12;8;11
90;11;11;14;8;11
85;14;10;14;8;14
86;8;11;5;10;14
85;12;6;10;13;12
12;13;11;5;5;7
86;11;15;9;9;5
84;10;9;5;8;6
82;8;15;5;9;10
24;13;15;10;9;12
88;9;7;10;6;15
87;9;11;7;10;15
79;13;8;12;11;14
87;10;11;5;14;5
53;12;14;15;8;14
83;15;7;14;7;15
36;9;8;8;15;11
63;7;6;9;11;8
84;13;12;6;8;8
87;6;6;12;10;13
68;6;6;5;14;14
70;14;7;13;14;8
31;8;11;14;10;9
85;13;13;15;9;15
20;8;14;6;12;10
33;11;13;13;6;10
13;86;80;75;81;88
83;8;10;7;14;13
19;81;85;71;79;90
74;5;5;13;6;9
18;12;16;9;12;13
18;84;82;75;85;82
75;7;15;12;14;9
13;85;79;68;82;88
80;15;7;11;14;12
83;12;6;16;15;8
64;11;14;5;5;13
32;8;5;14;11;11
56;10;7;11;12;11
64;10;8;5;8;15
51;14;12;13;7;13
14;85;83;77;82;84
64;13;8;7;7;10
85;5;7;7;10;7
39;11;15;9;14;12
25;12;11;7;8;5
85;6;8;5;12;5
11;82;84;77;85;82
19;10;13;6;9;5
13;82;77;82;80;88
85;8;6;5;9;8
34;8;11;12;9;6
82;4;2;4;2;4
13;12;14;10;5;15
26;10;8;11;5;15
33;6;6;14;10;13
19;13;8;6;6;15
33;12;12;13;15;13
82;16;15;13;15;10
24;8;11;20;19;20
83;7;8;14;15;9
61;7;14;15;14;9
71;7;10;14;9;14
63;11;15;13;7;14
15;5;3;5;3;5
84;11;8;7;9;14
42;13;11;13;12;10
19;9;9;8;15;9
75;9;12;9;7;15
78;13;8;15;11;9
32;10;13;6;7;13
36;11;7;11;8;14
44;9;16;9;9;7
26;9;11;9;10;10
41;15;12;7;12;10
79;9;11;14;9;7
63;9;5;6;7;7
16;84;80;76;80;84
60;9;14;12;7;8
45;14;10;10;9;7
12;83;78;88;81;86
84;14;13;14;13;12
82;7;15;11;10;8
18;15;15;9;8;9
44;11;13;5;13;8
54;12;10;9;5;7
51;9;10;14;7;14
75;9;7;13;14;15
85;12;7;10;15;7
12;83;80;83;82;86
83;13;13;5;5;8
85;11;9;9;13;11
83;14;16;11;15;10
40;7;13;10;11;5
52;15;14;9;9;15
59;13;11;7;6;16
15;85;79;79;78;82
14;82;82;70;82;85
84;8;6;8;12;13
55;5;11;14;5;7
79;9;7;13;9;12
13;82;80;79;82;84
82;10;14;5;8;10
75;7;12;11;6;7
26;6;12;15;11;8
47;12;10;15;12;12
20;2;2;2;4;2
86;10;6;11;12;13
38;16;11;13;9;8
82;11;12;10;7;14
10;83;81;52;82;87
21;9;10;14;5;8
18;81;84;78;84;83
11;85;81;80;79;82
12;78;84;80;80;85
86;5;12;9;11;8
82;12;6;7;12;7
78;10;8;8;5;6
13;86;81;70;79;84
58;6;10;8;15;15
70;16;14;11;16;14
26;15;6;9;7;10
13;79;82;76;86;84
80;10;7;13;10;9
24;80;83;82;82;82
14;85;78;68;78;85
79;12;11;11;12;10
74;10;10;7;14;8
70;6;13;13;11;12
16;88;78;72;78;88
80;15;14;14;10;9
84;18;12;14;11;18
13;79;84;77;83;78
36;12;9;7;6;9
30;9;12;11;9;9
75;5;5;13;7;9
17;8;14;15;7;9
11;81;82;79;83;81
86;10;7;8;14;10
81;10;10;9;12;7
26;8;14;14;7;15
78;11;8;10;7;14
77;6;14;14;6;11
42;14;15;10;13;12
24;11;16;11;8;9
82;5;10;5;5;5
25;13;16;15;8;14
79;6;9;15;14;14
81;9;14;12;8;9
80;11;13;9;9;7
69;7;16;15;11;15
51;15;14;7;15;11
32;13;7;12;14;7
17;13;7;9;15;11
44;14;10;8;13;9
37;14;15;13;9;7
40;8;14;14;12;16
82;14;15;10;12;8
78;9;8;10;11;10
81;14;16;9;14;9
80;8;13;15;6;9
78;14;7;10;13;16
82;15;10;10;8;10
66;11;6;15;13;7
83;15;6;15;15;7
20;4;5;4;4;5
11;80;83;75;81;80
26;6;13;9;7;7
21;6;13;6;14;6
46;16;7;15;6;14
28;15;10;15;11;10
18;6;8;6;12;11
55;16;16;9;14;9
80;10;15;13;12;8
85;16;13;15;16;13
30;15;14;16;15;8
84;12;13;14;13;12
85;12;8;6;6;14
81;8;12;11;14;15
17;83;77;77;81;83
57;14;7;12;6;10
82;11;9;15;10;6
51;14;9;6;10;12
31;5;11;12;15;9
68;10;14;7;15;14
16;86;78;73;77;86
40;7;7;11;15;13
76;7;16;16;16;13
42;6;13;13;8;9
67;6;11;5;10;8
79;11;14;8;11;10
81;16;15;8;16;6
55;13;8;10;15;12
28;6;3;6;3;3
39;14;15;10;10;15
43;8;11;9;7;5
76;7;13;7;9;13
34;12;7;5;13;9
82;13;9;6;7;9
77;14;12;13;11;14
79;5;3;5;5;3
82;15;9;12;14;6
65;16;6;14;12;6
78;8;9;12;11;14
20;12;15;11;6;5
80;8;16;7;14;16
73;7;10;10;11;10
81;14;6;13;13;14
78;7;16;11;16;7
13;84;76;76;83;81
12;83;84;76;81;83
83;13;11;9;11;7
19;82;83;72;82;83
74;14;12;7;12;7
82;5;11;9;6;7
38;8;9;9;11;9
49;14;10;9;15;9
12;78;82;70;83;79
13;87;74;58;82;84
33;11;6;15;7;14
23;9;7;8;14;10
18;12;13;6;15;14
80;10;9;13;6;9
70;7;13;10;10;9
79;16;12;10;14;12
73;9;11;12;7;15
75;16;11;7;13;13
83;14;14;10;9;8
74;12;15;16;7;13
29;11;10;14;14;10
45;14;13;13;16;8
65;14;13;9;10;12
29;11;12;6;8;11
75;8;8;15;11;8
31;14;15;14;10;13
44;13;10;9;8;16
84;10;12;8;6;8
62;6;15;8;8;8
12;81;77;75;78;86
80;12;6;14;9;11
71;12;9;12;11;6
75;16;12;15;11;11
